id,cor_sentence
grm2208080075948,"하셨는데, 그게 무슨 말인지 잘 모르겠어요."
grm2208230067597,받았는데 정지한 것만 포함하는 건가요?
grm2206230018055,칼럼이 너무 좋고 고생하셨는데 댓글이 없네요.
grm2207010022888,규칙적인 생활이 많이 도움 되는 것 같아요!
grm2206300000480,가속도 계산할 때는 서로 빗면 힘의 방향이 반대라고 푸셔야 될걸요.
grm2208090078900,"제가 현장에서 풀긴 풀었는데, 시간이 조금 걸렸거든요."
grm2209080079523,제 풀이가 맞는지 봐주시면 감사하겠습니다.
grm2208040068081,"에너지를 가지고 있으면 일을 할 능력이 된다는 건데, 그 능력으로 일을 하면 오히려 그 능력인 에너지를 얻는다."
grm2206170080291,사회 불평등도 결국 사회 문제 아닌가요?
grm2208080049934,세부 정보를 먼저 붙이고 미시와 거시가 그제서야 나왔는데요.
grm2207250023748,의대는 공부할 시간도 턱없이 부족하다고 들었는데 연습은 주에 몇 시간씩 모여서 하시나요?
grm2207120000090,연애 안 하는 사람들은 그냥 못하는 것 아닌가요?
grm2206230036396,학생들이 댓글 삭제를 해두어도 관리자님 기록에는 다 남아요.
grm2209270113194,비물질적인 것이 아니라 물질적인 것으로 보신 건가요?
grm2207080020822,고민하는 시간이 가장 중요한 건 같아요!
grm2209150099229,그거 익명 보장해준다 그러니까 검사 확 늘지 않았음?
grm2209260104893,너 그러면 이거도 풀어봐.
grm2209020086438,표준어 설명을 바로 뒤에 하시네요.
grm2209130107470,고등학교로 실습 갈 텐데 몇 학년 때 어떤 조건을 충족시켜야 하는지 아실까요?
grm2207200021542,교수님은 아시겠지만 그냥 일반 학생들은 모릅니다.
grm2210050114410,근데 그냥 푸는 게 아니고 몰랐던 거 오래 걸렸던 거 체크해놓고 빨리 푸는 연습했습니다.
grm2206160060515,"만약 경상도, 미국 이렇게 구별하는 것도 지역이라고 하나요?"
grm2207280021418,반드시 좋은 결과가 있을 거예요.
grm2209150107627,학벌의 필요성을 강조했다.
grm2208290069721,이럴 때는 저두 식으로 푸는 연습을 해야 될까요 아니면 그냥 제가 편한 그래프를 그려서 푸는 게 더 나을까요?
grm2208110057315,어떻게 중국 물건을 가지고 있었나요?
grm2209050042963,상태는 변한 게 없지만 정신적으로만 극복한 거라고 봐도 될까요?
grm2208160058109,왜 무역에 좋은 위치인지 모르겠네요.
grm2208300079990,"근의 공식을 사용하면 답이 이상하게 나오는데, 어떻게 구해야 하나요?"
grm2208100068882,그냥 무시해도 되는 조건인가요.
grm2209020053959,지문의 마지막 문단과 같이 복잡한 순서나 과정이 나왔을 때 처리하는 순서가 궁금합니다.
grm2210120115384,강의 추천해 주실 수 있나요?
grm2207040038908,교대 면접 대비 학원 다니셨는지 궁금합니다!
grm2208250041853,변제는 채권을 소멸하는 건데 채권 자체가 없으니 맞는 말이네.
grm2208300043892,딴 상황에서도 무조건 뒤에 있는 게 탈락하나요?
grm2208050061811,그러면 고구려 전성기 시절이 맞지 않나요?
grm2207010024647,학원에 다니지 않고 독학으로 수학을 인강과 병행하는 중이에요.
grm2207280036790,고통스러운 지금 순간만 견디면 분명 성공이 기다리고 있을 거예요.
grm2210200113024,저 뭐 좀 먹고 와서 써볼게요.
grm2210060115073,표준점수는 두 번째인 거 같고 지구과학이 제일 무난해서인 듯합니다!
grm2208010068650,그림을 좀 제대로 주셔야지.
grm2209200103181,영상을 물리치료하면서 지금 봤어요.
grm2208290057117,하는데 그렇다면 북위 이후에 나라에도 계속 계승이 되고 있었던 것인가요?
grm2208080054113,문제는 따로 모의고사 이전에 모두 풀어보려고 했을 것입니다.
grm2210170117077,그거 입력 안 되면 해당되는 계획 수정하기 눌렀다가 완료 누름 입력됨.
grm2209260098673,진짜 미리 교수님들 인성 알고 들어가고 싶다.
grm2206140058753,하셨는데 예시처럼 자율적으로 원하는 사람에게만 관직을 주고 돈을 받은 건가요?
grm2209140114820,두 강의는 같은 성격의 강좌라 둘 중 하나만 들으시면 될 것 같아요.
grm2208100073644,여기에 혹시 오류가 있는지 봐주세요!
grm2209200099489,발포자가 자기 질문 방어용 발표를 했다는 거지.
grm2208010067696,만약에 속도 시간 그래프에서 속도가 속력으로 바뀌었을 때도 기울기를 가속도라고 하나요?
