err_sentence,cor_sentence,error_point,error_type
그래프를 보구판단할때 기울기를 보구판단할수는 없는것일까요?,그래프를 보고 판단할 때 기울기를 보고 판단할 수는 없는 것일까요?,"'보구판단', '보구판단할수는' → '보고 판단', '보고 판단할 수는'","철자 오류, 띄어쓰기 오류"
대신 합격증 들구 연락 먼저 주세요,대신 합격증 들고 연락 먼저 주세요.,'들구' → '들고',철자 오류
노력한 부분도 있구요!,노력한 부분도 있고요!,'있구요' → '있고요',맞춤법 오류
저는 영어공부를 정말 안했습니다,저는 영어 공부를 정말 안 했습니다.,"'영어공부', '안했습니다' → '영어 공부', '안 했습니다'",띄어쓰기 오류
최근에는 공사 신검 떄문에 육사 컷이 재일 높습니다,최근에는 공사 신검 때문에 육사 컷이 제일 높습니다!,"'떄문에', '재일' → '때문에', '제일'",철자 오류
갗다면 왤케 가튼말인가요?,같다면 왜 같은 말인가요?,,
그게더 간단한거가타서요.,그게 더 간단한 것 같아서요.,,
내용도 재밌어서 잠깨기에 좋앗어요,내용도 재밌어서 잠 깨기에 좋았어요,,
시선의이동이없구못 위의 잠은시선의이동이잇는건가여?,시선의 이동이 없고 못 위의 잠은 시선의 이동이 있는 건가요?,,
그리고 연계교재 공부법에 대해서는 학교에서 연계교재로 진도를 나갔기 떄문에 그냥 진도에 맞춰서 풀고 틀린 문제만 오답했습니디,그리고 연계 교재 공부법에 대해서는 학교에서 연계 교재로 진도를 나갔기 때문에 그냥 진도에 맞춰서 풀고 틀린 문제만 오답했습니다.,,
밀도라는개념을 전혀 모르는 독자가이를 도출할수있따고하기에는 매우 어려워보입니다.,밀도라는 개념을 전혀 모르는 독자가 이를 도출할 수 있다고 하기에는 매우 어려워 보입니다.,,
"조은 독해 습관이라구생각하구, 선생님도이거 많이 강조하시더라구요.","좋은 독해 습관이라고 생각하고, 선생님도 이걸 많이 강조하시더라고요.",,
제발 덮어쓰기전 버전이 살아났으면좋겟어.,제발 덮어쓰기 전 버전이 살아났으면 좋겠어.,,
한명은 너무많이하구 한명은 아무것도 안한다면서요?,한 명은 너무 많이 하고 한 명은 아무것도 안 한다면서요?,,
대학생활에서강재는 없씁니다.,대학 생활에서 강제는 없습니다.,,
학업이 이타이밍에가장 쉽게 안정적인 과정을만드는방법이라구생각했습니다!,학업이 이 타이밍에 가장 쉽게 안정적인 과정을 만드는 방법이라고 생각했습니다!,,
트린적이 단한번도없었습니다,틀린 적이 단 한 번도 없었습니다.,,
고런사람들의생각을 바꾸기위한거이지요.,그런 사람들의 생각을 바꾸기 위한 것이지요.,,
저도 선생님 두분이랑 방식이 잘안맞아서 안들엇구욤,저도 선생님 두 분이랑 방식이 잘 안 맞아서 안 들었고요.,,
어제질문을 남겼는데제 뒤로는모두 답뼌이 달려서요 제질문이 누락됀거갔습니다.,어제 질문을 남겼는데 제 뒤로는 모두 답변이 달려서요 제 질문이 누락된 것 같습니다.,,
셤 끝까지 다 봤으면 잘 한 거에요,시험 끝까지 다 봤으면 잘 한 거예요.,,
지저가다 볼스있으면좋겠내요!,지나가다 볼 수 있으면 좋겠네요!,,
저는 일단 정말 너무너무 힘들면 하루 늦잠자구 늦게가라구 하구 싶어요.,저는 일단 정말 너무너무 힘들면 하루 늦잠 자고 늦게 가라고 하구 싶어요.,,
아니면 걍 과거재를 재한적으로 실시했다고...,아니면 그냥 과거제를 제한적으로 실시했다고...,,
서술자의생각으로는 볼수없저요,서술자의 생각으로는 볼 수 없나요?,,
수능이기 떄문에 최선을 다해 노력해주세요.,수능이기 때문에 최선을 다해 노력해 주세요.,,
그래서 졸업식 꽃다발도 꽃시장가서 직접 해왔답니다,그래서 졸업식 꽃다발도 꽃 시장 가서 직접 해왔답니다.,,
그리고 스펙트럼의세기를 어떻게 구할수가잇나요?,그리고 스펙트럼의 세기를 어떻게 구할 수가 있나요?,,
공부랑 미모를 어떡해 다들 챙기는지 궁금해오!,공부랑 미모를 어떻게 다들 챙기는지 궁금해요!,,
요기서 알려드리긴 좀 그렇니요.,여기서 알려드리긴 좀 그렇네요.,,
공통과목 난도가 높아진게 뚜렷하게 보이내요.,공통과목의 난도가 높아진 게 뚜렷하게 보이네요.,,
잠온다랑 반틈은 경상도 사투린데 부산이 어찌아나요?,잠 온다랑 반틈은 경상도 사투리인데 부산이 어찌 아나요?,,
신을 완전한 존재로 설명하는부분은 아니지앉나요?,신을 완전한 존재로 설명하는 부분은 아니지 않나요?,,
어느정두 복습하는게 적당한가요?,어느 정도 복습하는 게 적당한가요?,,
항상 빠르구정확한답변 감사함니다!,항상 빠르고 정확한 답변 감사합니다!,,
여러번 읽으면서 공부했어요,여러 번 읽으면서 공부했어요.,,
물고기를 잡아야하는대 놓아주면 어뜩합니까,물고기를 잡아야 하는데 놓아주면 어떡합니까?,,
수능 전 알아두시고 시험장 들어가시면 좋을것 같습니디!,수능 전 알아두시고 시험장 들어가시면 좋을 것 같습니다!,,
